Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-01-04,556.35,558.55,539.6,540.45
2016-01-05,542.1,547.6,534.2,535.3
2016-01-06,537.75,538,505.05,508.7
2016-01-07,510.2,511.2,485.02,495.25
2016-01-08,493.93,505.15,490,493.69
2016-01-11,489.5,492.01,474.48,479.53
2016-01-12,475.07,476.5,453.32,471.45
2016-01-13,468.3,496.86,468.15,485.6
2016-01-14,482.2,494.7,480.4,492.9
2016-01-15,493.5,497.84,483.5,489.57
2016-01-18,491.24,496.9,489.45,495.75
2016-01-19,492.6,505.35,492,495.9
2016-01-20,494.64,495.88,484.06,495.7
2016-01-21,499.351,501.2,492.701,499.251
2016-01-22,500.2,508.96,497.9,498.1
2016-01-25,501.05,501.15,489.65,489.8
2016-01-26,488.4,501.1,488.3,494.73
2016-01-27,496.73,502.61,492.6,499.5
2016-01-28,500.1,505.19,490.35,491.4
2016-01-29,493.5,502.14,492.2,498.2
2016-02-01,501.45,506.35,496.05,503.7
2016-02-02,505.03,505.03,490.44,492.5
2016-02-03,490.55,514.8,486.75,510.15
2016-02-04,512.35,517.4,506.15,513.15
2016-02-05,513.7,518.45,498.45,501.9
2016-02-08,501.65,518.35,494.15,515.55
2016-02-09,515.23,518.55,510.4,516.25
2016-02-10,519.32,523.53,508.53,522.6
2016-02-11,524.45,530.25,521.26,525.05
2016-02-12,522.7,530.29,520.5,522.58
2016-02-15,519.43,522,510.45,513.5
2016-02-16,513.51,514.03,506.34,508.68
2016-02-17,510.65,516,508.7,514.3
2016-02-18,516.63,518.16,499.45,503.5
2016-02-19,503.85,505.15,497.57,499.67
2016-02-22,500.53,503.04,496.1,496.85
2016-02-23,498.35,502.3,494.9,501.85
2016-02-24,501.45,501.6,486.01,488.45
2016-02-25,488.28,494.7,481.35,486.05
2016-02-26,485.23,494.2,481.1,485.1
2016-02-29,485.25,499.27,485.13,494.3
2016-03-01,494.34,522.57,493.9,517.58
2016-03-02,513.32,521.87,509.63,518.18
2016-03-03,516.21,541.98,513.1,539.6
2016-03-04,537.06,561.73,535.05,556.48
2016-03-07,557.35,578.6,552.65,577.9
2016-03-08,576.65,580.74,558.1,559.35
2016-03-09,559.95,570.68,549.75,566.2
2016-03-10,564.6,574.49,558.64,571.9
2016-03-11,570.7,584.61,569.2,577.68
2016-03-14,575.1,576.95,565.53,570
2016-03-15,569.2,570.78,559.15,567.85
2016-03-16,568,584.4,563.88,581.2
2016-03-17,580.5,596.83,578.3,595.95
2016-03-18,593.6,596.3,584.6,589.5
2016-03-21,591.03,603.03,584.88,599.6
2016-03-22,602.45,607.11,598.4,605
2016-03-23,605.5,606.13,580.23,583
2016-03-24,584.25,586.2,571.75,573.45
2016-03-28,574,584.15,565.78,568.75
2016-03-29,568.85,578.68,559.9,577.38
2016-03-30,575.75,578.85,563.85,564.43
2016-03-31,567.2,574.85,562.58,563.8
2016-04-01,564.95,574.53,557.45,564.81
2016-04-04,564.5,564.5,550.3,551.05
2016-04-05,551.15,559.3,543.6,546
2016-04-06,546.7,555.3,537.55,541.73
2016-04-07,542.93,544.6,533.4,536.41
2016-04-08,536.1,543.25,534.9,539.5
2016-04-11,539.45,552.95,539.45,547.38
2016-04-12,547.45,554.68,541.35,546.75
2016-04-13,547,549.75,538.2,544.57
2016-04-14,545.6,561.75,536.95,561.55
2016-04-15,564.5,569.45,558,567.88
2016-04-18,569.6,570.07,562.25,565.65
2016-04-19,566.79,586.1,563.55,583.75
2016-04-20,583.23,598.69,580.73,595.09
2016-04-21,594.67,614.57,592.02,605.82
2016-04-22,605.82,617.57,602.08,605.18
2016-04-25,599.75,608.43,595.31,603.97
2016-04-26,604.449,609.7,593.96,604
2016-04-27,603.75,612.45,598.85,610.55
2016-04-28,610.6,626.06,606.57,623.48
